,Feature,importance,fold
92,regionCode_pred_1,228,3
93,n0,1602,3
94,n12,173,3
95,n11,66,3
0,subGrade,2014,4
1,employmentTitle_pred_0,2574,4
2,interestRate,3734,4
3,homeOwnership_target_std,178,4
4,term,875,4
5,issueDate_day,8094,4
6,homeOwnership_pred_0,1923,4
7,interestRate_term_rate,4712,4
8,homeOwnership_isDefault_kfold_mean,2284,4
9,grade,447,4
10,installment_annualIncome_rate,4009,4
11,employmentTitle_target_mean,2239,4
12,loanAmnt_annualIncome,4231,4
13,ficoRangeLow,366,4
14,n2,2312,4
15,grade_enc,150,4
16,issueDate_year,205,4
17,employmentTitle_isDefault_kfold_mean,2903,4
18,homeOwnership_target_mean,1413,4
19,fico_mean,3793,4
20,homeOwnership_pred_1,137,4
21,dti,7063,4
22,employmentTitle_pred_1,1161,4
23,n9,1627,4
24,regionCode_pred_0,3155,4
25,postCode_pred_0,3280,4
26,issueData_all_month,4038,4
27,subGrade_enc,1374,4
28,homeOwnership_target_skew,178,4
29,postCode_target_std,1603,4
30,all_installment,2596,4
31,ave_loanAmnt_term_rate,2912,4
32,regionCode_isDefault_kfold_mean,2970,4
33,rest_money,3611,4
34,homeOwnership_enc,379,4
35,n14,2326,4
36,postCode_target_skew,1680,4
37,rest_Revol,5868,4
38,postCode_isDefault_kfold_mean,3691,4
39,annualIncome,3094,4
40,revolBal_total,3397,4
41,money_total,4396,4
42,n1,1353,4
43,installment,2554,4
44,n7,1886,4
45,postCode_target_mean,1523,4
46,title_isDefault_kfold_mean,2153,4
47,openAcc_TotalAcc_rate,5010,4
48,title_pred_0,2010,4
49,employmentTitle_enc,3505,4
50,earliesCreditLine_issueDate_diff,3734,4
51,postCode_pred_1,696,4
52,totalAcc,3016,4
53,issueDate_month,2379,4
54,regionCode_enc,3049,4
55,title_target_std,1013,4
56,n4,1759,4
57,annualIncome_employmentLength_rate,4908,4
58,loanAmnt,1979,4
59,regionCode_target_mean,2185,4
60,applicationType,550,4
61,title_pred_1,372,4
62,employmentLength,907,4
63,revolBal,4931,4
64,earliesCreditLine_year,3296,4
65,employmentTitle_target_skew,2829,4
66,regionCode_target_skew,524,4
67,title_target_skew,1342,4
68,delinquency_2years,1195,4
69,revolUtil,5788,4
70,Acc_diff,2506,4
71,n5,2548,4
72,title_target_mean,1283,4
73,openAcc,1580,4
74,title_enc,1751,4
75,n6,3761,4
76,purpose,1746,4
77,postCode_enc,4944,4
78,regionCode_pred_1,149,4
79,n10,1377,4
80,employmentTitle_target_std,2109,4
81,verificationStatus,1148,4
82,pubRecBankruptcies_pubRec__rate,615,4
83,n0,1292,4
84,n8,2939,4
85,regionCode_target_std,250,4
86,employmentLength_enc,1449,4
87,initialListStatus,327,4
88,pubRec,795,4
89,earliesCreditLine_month,2013,4
90,pubRec_diff,361,4
91,issueDate_week_day,1340,4
92,pubRecBankruptcies,171,4
93,n13,403,4
94,n12,91,4
95,n11,32,4
0,subGrade,2272,5
1,employmentTitle_pred_0,2969,5
2,ficoRangeLow,409,5
3,employmentTitle_pred_1,1434,5
4,interestRate_term_rate,5146,5
5,issueDate_day,8662,5
6,grade,576,5
7,term,833,5
8,homeOwnership_isDefault_kfold_mean,2316,5
9,installment_annualIncome_rate,4345,5
10,homeOwnership_target_std,231,5
11,employmentTitle_target_mean,2644,5
12,loanAmnt_annualIncome,4929,5
13,homeOwnership_pred_0,2206,5
14,subGrade_enc,1721,5
15,homeOwnership_enc,497,5
16,interestRate,4272,5
17,employmentTitle_isDefault_kfold_mean,3331,5
18,n2,2464,5
19,dti,7990,5
20,homeOwnership_target_mean,1842,5
21,fico_mean,4126,5
22,n14,2522,5
23,issueData_all_month,4437,5
24,regionCode_isDefault_kfold_mean,3647,5
25,homeOwnership_pred_1,132,5
26,homeOwnership_target_skew,193,5
27,postCode_isDefault_kfold_mean,4175,5
28,earliesCreditLine_year,3580,5
29,ave_loanAmnt_term_rate,3041,5
30,regionCode_pred_0,3550,5
31,rest_money,3919,5
32,rest_Revol,6731,5
33,postCode_target_skew,1953,5
34,annualIncome,3697,5
35,employmentTitle_enc,3950,5
36,postCode_pred_0,3591,5
37,installment,3167,5
38,money_total,4772,5
39,postCode_pred_1,773,5
40,earliesCreditLine_issueDate_diff,4275,5
41,postCode_target_mean,1660,5
42,n4,2046,5
43,postCode_target_std,1932,5
44,issueDate_year,201,5
45,employmentTitle_target_std,2546,5
46,grade_enc,163,5
47,openAcc_TotalAcc_rate,5820,5
48,all_installment,2945,5
49,n1,1690,5
50,n7,2263,5
51,annualIncome_employmentLength_rate,5725,5
52,employmentTitle_target_skew,3430,5
53,title_pred_0,2096,5
54,n9,1786,5
55,n8,3419,5
56,regionCode_target_mean,2487,5
57,pubRec_diff,366,5
58,applicationType,613,5
59,issueDate_month,2527,5
60,title_target_mean,1408,5
61,revolBal,5323,5
62,title_isDefault_kfold_mean,2228,5
63,regionCode_target_skew,554,5
64,n6,4146,5
65,n5,3018,5
66,revolBal_total,4007,5
67,openAcc,1886,5
68,verificationStatus,1177,5
69,employmentLength_enc,1699,5
70,regionCode_target_std,277,5
71,employmentLength,997,5
72,Acc_diff,2708,5
73,n10,1467,5
74,totalAcc,3434,5
75,postCode_enc,5733,5
76,loanAmnt,2439,5
77,earliesCreditLine_month,2216,5
78,pubRec,843,5
79,title_target_std,1270,5
80,title_target_skew,1733,5
81,delinquency_2years,1176,5
82,purpose,1944,5
83,revolUtil,6715,5
84,regionCode_enc,3631,5
85,title_pred_1,423,5
86,title_enc,1887,5
87,pubRecBankruptcies,219,5
88,pubRecBankruptcies_pubRec__rate,691,5
89,initialListStatus,379,5
90,issueDate_week_day,1406,5
91,n0,1461,5
92,n13,394,5
93,regionCode_pred_1,176,5
94,n12,85,5
95,n11,58,5
